athlete_id,name,born_date,born_country,NOC,country_noc
32221,Lajos Simó,1943-07-12,ROU,Hungary,HUN
32229,István Szilágyi,1950-10-06,SVK,Hungary,HUN
32236,Károly Vass,1944-06-14,SVK,Hungary,HUN
32240,Igor Zubjuk,1961-03-02,UKR,Hungary,HUN
32255,Alfreð Gíslason,1959-09-07,ISL,Germany Iceland,GER
32259,Guðmundur Guðmundsson,1960-12-23,ISL,Denmark Iceland,DEN
32525,Bogdan Kowalczyk,1946-08-12,POL,Iceland Poland,ISL
32526,Zygfryd Kuchta,1944-01-05,GER,Poland,POL
32619,Vyacheslav Gorpishin,1970-01-20,MDA,Russian Federation Unified Team,RUS
32739,Elena Boledovičová,1953-05-09,SVK,Czechoslovakia,TCH
32740,Elena Brezányová,1958-04-03,SVK,Czechoslovakia,TCH
32741,Zuzana Budayová,1960-10-24,SVK,Czechoslovakia,TCH
32742,Alena Damitšová,1962-02-16,SVK,Czechoslovakia,TCH
32743,Věra Datínská,1949-10-17,CZE,Czechoslovakia,TCH
32744,Mária Ďurišinová,1960-07-17,SVK,Czechoslovakia,TCH
32745,Milena Foltýnová-Gschiessl,1950-05-14,CZE,Austria Czechoslovakia,AUT
32746,Monika Hejtmánková,1967-05-11,CZE,Czechoslovakia,TCH
32747,Alena Horalová,1952-11-24,CZE,Czechoslovakia,TCH
32748,Anna Hradská,1959-07-11,SVK,Czechoslovakia,TCH
32749,Júlia Kolečániová,1965-12-01,SVK,Czechoslovakia,TCH
32750,Petra Komínková,1951-11-17,CZE,Czechoslovakia,TCH
32751,Mária Končeková,1953-08-11,SVK,Czechoslovakia,TCH
32752,Jana Kuťková,1951-02-14,SVK,Czechoslovakia,TCH
32753,Katarína Lamrichová,1956-10-21,SVK,Czechoslovakia,TCH
32754,Petra Lupačová,1968-04-13,CZE,Czechoslovakia,TCH
32755,Božena Mažgutová,1959-12-02,SVK,Czechoslovakia,TCH
32756,Jolana Némethová,1954-03-17,SVK,Czechoslovakia,TCH
32757,Daniela Trandžíková-Nováková,1956-10-26,SVK,Czechoslovakia,TCH
32758,Viola Pavlasová,1957-05-14,SVK,Czechoslovakia,TCH
32759,Priska Polačeková,1954-10-29,SVK,Czechoslovakia,TCH
32760,Marta Pösová,1965-04-04,SVK,Czechoslovakia,TCH
32761,Lenka Pospíšilová,1966-05-13,CZE,Czechoslovakia,TCH
32762,Gabriela Sabadošová,1958-10-29,SVK,Czechoslovakia,TCH
32763,Marie Šmídová,1966-06-15,CZE,Czechoslovakia,TCH
32764,Jana Stašová,1960-11-05,SVK,Czechoslovakia,TCH
32765,Irena Tomašovičová,1964-11-12,SVK,Czechoslovakia,TCH
32766,Miroslav Bajgar,1958-02-03,CZE,Czechoslovakia,TCH
32767,Michal Barda,1955-06-27,CZE,Czechoslovakia,TCH
32768,Tomáš Bartek,1958-02-24,CZE,Czechoslovakia,TCH
32769,Petr Baumruk,1962-07-25,CZE,Czechoslovakia,TCH
32770,Roman Bečvář,1966-07-02,CZE,Czechoslovakia,TCH
32771,Ladislav Beneš,1943-07-09,CZE,Czechoslovakia,TCH
32772,Zoltán Bergendi,1969-03-21,SVK,Czechoslovakia,TCH
32773,Milan Brestovanský,1957-05-18,SVK,Czechoslovakia,TCH
32774,František Brůna,1944-10-13,CZE,Czechoslovakia,TCH
32775,Bohumil Cepák,1951-07-13,CZE,Czechoslovakia,TCH
32776,Jozef Dobrotka,1952-10-23,SVK,Czechoslovakia,TCH
32777,Milan Folta,1960-11-07,SVK,Czechoslovakia,TCH
32778,Vladimír Haber,1949-08-26,CZE,Czechoslovakia,TCH
32779,Jiří Hanzl,1951-08-04,CZE,Czechoslovakia,TCH
32780,Petr Házl,1971-08-29,CZE,Czechoslovakia,TCH
32781,Ľuboš Hudák,1968-11-04,SVK,Czechoslovakia,TCH
32782,Vladimír Jarý,1947-01-02,CZE,Czechoslovakia,TCH
32783,Karel Jindřichovský,1966-09-28,CZE,Czechoslovakia,TCH
32784,Peter Kakaščík,1963-12-04,SVK,Czechoslovakia,TCH
32785,Peter Kalafut,1960-10-19,SVK,Czechoslovakia,TCH
32787,Jiří Kavan,1943-12-11,CZE,Czechoslovakia,TCH
32788,Arnošt Klimčík,1945-07-24,CZE,Czechoslovakia,TCH
32789,Jaroslav Konečný,1945-01-14,CZE,Czechoslovakia,TCH
32790,Jiří Kotrč,1960-06-25,CZE,Czechoslovakia,TCH
32791,František Králík,1942-04-12,CZE,Czechoslovakia,TCH
32792,Jindřich Krepindl,1948-07-06,CZE,Czechoslovakia,TCH
32793,Vincent Lafko,1945-06-07,SVK,Czechoslovakia,TCH
32794,Václav Lanča,1966-08-14,CZE,Czechoslovakia,TCH
32795,Jiří Liška,1952-08-14,CZE,Czechoslovakia,TCH
32796,Andrej Lukošík,1947-10-05,SVK,Czechoslovakia,TCH
32797,Peter Mesiarik,1963-12-08,SVK,Czechoslovakia,TCH
